Date,Time,Transaction Number,Item 1,Item 2,Item 3
10/30/2016,10:07:57,1,Hot chocolate,CaramelBites,Mineral water
10/30/2016,10:07:57,2,Cookies,CaramelBites,CaramelBites
10/30/2016,10:13:03,3,Coffee,Chocolates,Brownie
10/30/2016,10:19:12,4,Coffee,Brownie,Tea
10/30/2016,10:19:12,5,Tea,Cookies,Cake
10/30/2016,10:30:14,6,Coffee,Hot chocolate,Cake
10/30/2016,10:30:14,7,Tea,Coffee,Juice
10/30/2016,10:31:24,8,Coffee,Juice,Brownie
10/30/2016,10:34:36,9,Mineral water,Coffee,Tea
10/30/2016,10:37:08,10,Coffee,Tea,Mineral water
10/30/2016,10:38:04,11,Hot chocolate,CaramelBites,Coffee
10/30/2016,10:49:29,12,Coffee,Cake,Cake
10/30/2016,10:49:29,13,Coffee,Cookies,Tea
10/30/2016,11:03:24,14,Coffee,Tea,Juice
10/30/2016,11:22:49,15,Coffee,Hot chocolate,Juice
10/30/2016,11:25:45,16,Coffee,Hot chocolate,Tea
10/30/2016,11:33:08,17,Tea,Juice,Chocolates
10/30/2016,11:37:10,18,Coffee,Tea,CaramelBites
10/30/2016,11:42:40,19,Tea,Brownie,Brownie
10/30/2016,11:55:51,20,Juice,Juice,Mineral water
10/30/2016,11:55:51,21,Coffee,Tea,CaramelBites
10/30/2016,11:57:45,22,Tea,Coffee,Coffee
10/30/2016,12:05:47,23,Coffee,Cake,Tea
10/30/2016,12:08:36,24,Coffee,Mineral water,Mineral water
10/30/2016,12:08:36,25,Hot chocolate,Mineral water,Cookies
10/30/2016,12:09:04,26,Coffee,Mineral water,Cake
10/30/2016,12:15:29,27,Juice,Tea,Cookies
10/30/2016,12:17:02,28,Coffee,Coffee,Tea
10/30/2016,12:23:01,29,Coffee,Cookies,Mineral water
10/30/2016,12:23:01,30,Coffee,Cake,Cake
10/30/2016,12:38:06,31,Coffee,Cake,Coffee
10/30/2016,12:38:06,32,Tea,Juice,Coffee
10/30/2016,12:39:27,33,Coffee,Tea,Cake
10/30/2016,12:59:29,34,Hot chocolate,Chocolates,Cake
10/30/2016,12:59:29,35,Tea,Tea,Cake
10/30/2016,13:02:04,36,Tea,Coffee,Mineral water
10/30/2016,13:14:04,37,Cookies,Tea,Brownie
